Name	Formula	Distribution	Masses	Adducts	Isotopes
N-Acetyl-D-glucosamine	[M1];[C8H15NO6]n	0.8992574692612294 0.011087810250822623 0.0020553014123476073 0.002945463343819618 1.778366530849644E-4 0.003321490572186972 2.873947164451683E-4 0.0016548240482062067 9.593819442741504E-4 0.07780899562191577 0.8994643341626709 0.011090360887156646 0.002055774213229036 0.0029461409172678765 1.7787756257192517E-4 0.0033222546468189224 2.8746082863408465E-4 0.0014483041329771873 9.596026401906493E-4 0.07782689477845413	222.09721367217074 224.10145945007076 223.10143055007077 224.10392334777075 224.10478538787075 223.09424856533076 224.09760340313076 223.10349041803076 225.10481428787077 223.10056850997077 220.08266076770923 222.08690654560925 221.08687764560923 222.08937044330924 222.09023248340924 221.07969566086925 222.08305049866922 221.08893751356922 223.09026138340923 221.08601560550923	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]8[1H]16[14N]1[16O]6 [12C]8[1H]16[14N]1[16O]5[18O]1 [12C]8[1H]16[14N]1[16O]5[17O]1 [12C]6[13C]2[1H]16[14N]1[16O]6 [12C]7[13C]1[1H]16[14N]1[16O]5[17O]1 [12C]8[1H]16[15N]1[16O]6 [12C]7[13C]1[1H]16[15N]1[16O]6 [12C]8[1H]15[2H]1[14N]1[16O]6 [12C]7[13C]1[1H]16[14N]1[16O]5[18O]1 [12C]7[13C]1[1H]16[14N]1[16O]6 [12C]8[1H]14[14N]1[16O]6 [12C]8[1H]14[14N]1[16O]5[18O]1 [12C]8[1H]14[14N]1[16O]5[17O]1 [12C]6[13C]2[1H]14[14N]1[16O]6 [12C]7[13C]1[1H]14[14N]1[16O]5[17O]1 [12C]8[1H]14[15N]1[16O]6 [12C]7[13C]1[1H]14[15N]1[16O]6 [12C]8[1H]13[2H]1[14N]1[16O]6 [12C]7[13C]1[1H]14[14N]1[16O]5[18O]1 [12C]7[13C]1[1H]14[14N]1[16O]6
L-Histidine	[M1];[C6H9N3O2]n	0.9216200034854485 0.0037878464812397495 7.021373965224899E-4 0.010212265977275726 6.878705218423555E-5 6.627185643799677E-4 0.0010599849022720274 0.0016171663229239974 0.05980794928107333 2.4580991013402624E-4 0.9218320126571313 0.0037887178362362908 7.022989159852634E-4 0.010214615203684286 5.504230074862617E-5 6.628710159471664E-4 8.481829926887199E-4 0.05982170748265226 2.4586645616736085E-4 0.0016175383353491833	156.07675300141076 158.08099877931076 157.08096987931074 157.07378789457076 158.08638458507076 158.07714273237076 157.08302974727076 158.08346267701077 157.08010783921077 159.08435361711076 154.06220009694923 156.06644587484922 155.06641697484923 155.05923499010925 156.07183168060925 156.06258982790925 155.06847684280925 155.06555493474923 157.06980071264923 156.06890977254923	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]6[1H]10[14N]3[16O]2 [12C]6[1H]10[14N]3[16O]1[18O]1 [12C]6[1H]10[14N]3[16O]1[17O]1 [12C]6[1H]10[14N]2[15N]1[16O]2 [12C]5[13C]1[1H]9[2H]1[14N]3[16O]2 [12C]5[13C]1[1H]10[14N]2[15N]1[16O]2 [12C]6[1H]9[2H]1[14N]3[16O]2 [12C]4[13C]2[1H]10[14N]3[16O]2 [12C]5[13C]1[1H]10[14N]3[16O]2 [12C]5[13C]1[1H]10[14N]3[16O]1[18O]1 [12C]6[1H]8[14N]3[16O]2 [12C]6[1H]8[14N]3[16O]1[18O]1 [12C]6[1H]8[14N]3[16O]1[17O]1 [12C]6[1H]8[14N]2[15N]1[16O]2 [12C]5[13C]1[1H]7[2H]1[14N]3[16O]2 [12C]5[13C]1[1H]8[14N]2[15N]1[16O]2 [12C]6[1H]7[2H]1[14N]3[16O]2 [12C]5[13C]1[1H]8[14N]3[16O]2 [12C]5[13C]1[1H]8[14N]3[16O]1[18O]1 [12C]4[13C]2[1H]8[14N]3[16O]2
L-2_4-Diaminobutanoate	[M1];[C4H10N2O2]n	0.9450332286118944 0.0038840745384371676 7.199747924907918E-4 0.006981135139898372 5.172533491255994E-5 3.020242433919443E-4 0.0011956045287148487 0.04088489051307905 1.6803637950582319E-4 6.632998006013533E-4 0.9452506237544183 0.003884968029705297 7.201404152624451E-4 0.006982741077999561 4.2330464011724046E-5 3.0209372095257387E-4 9.78446916981275E-4 0.04089429566025384 1.6807503454097526E-4 6.634523858759469E-4	119.08150402831076 121.08574980621077 120.08572090621077 120.07853892147077 121.09113561197077 121.08189375927077 120.08778077417077 120.08485886611076 122.08910464401077 121.08821370391077 117.06695112384924 119.07119690174923 118.07116800174924 118.06398601700923 119.07658270750923 119.06734085480923 118.07322786970923 118.07030596164924 120.07455173954924 119.07366079944923	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]4[1H]11[14N]2[16O]2 [12C]4[1H]11[14N]2[16O]1[18O]1 [12C]4[1H]11[14N]2[16O]1[17O]1 [12C]4[1H]11[14N]1[15N]1[16O]2 [12C]3[13C]1[1H]10[2H]1[14N]2[16O]2 [12C]3[13C]1[1H]11[14N]1[15N]1[16O]2 [12C]4[1H]10[2H]1[14N]2[16O]2 [12C]3[13C]1[1H]11[14N]2[16O]2 [12C]3[13C]1[1H]11[14N]2[16O]1[18O]1 [12C]2[13C]2[1H]11[14N]2[16O]2 [12C]4[1H]9[14N]2[16O]2 [12C]4[1H]9[14N]2[16O]1[18O]1 [12C]4[1H]9[14N]2[16O]1[17O]1 [12C]4[1H]9[14N]1[15N]1[16O]2 [12C]3[13C]1[1H]8[2H]1[14N]2[16O]2 [12C]3[13C]1[1H]9[14N]1[15N]1[16O]2 [12C]4[1H]8[2H]1[14N]2[16O]2 [12C]3[13C]1[1H]9[14N]2[16O]2 [12C]3[13C]1[1H]9[14N]2[16O]1[18O]1 [12C]2[13C]2[1H]9[14N]2[16O]2
D-Glucosamine	[M1];[C6H13NO5]n	0.9212649510067044 0.009465968050180655 0.0017546672483261696 0.0016165433124540377 6.142880307506304E-4 0.00340277723994768 2.2082108440780478E-4 0.0014834071629445274 1.1386802521231192E-4 0.05978490837423479 0.9214768785022281 0.009468145598452073 0.0017550708914203835 0.0016169151815620935 1.1389421937651746E-4 0.0034035600137387583 2.208718820196386E-4 0.001271784347533037 6.144293413733181E-4 0.05979866127549085	180.08664898579076 182.09089476369076 181.09086586369077 182.09335866139077 183.09424960149076 181.08368387895078 182.08703871675075 181.09292573165075 182.09422070149074 181.09000382359076 178.07209608132925 180.07634185922925 179.07631295922923 180.07880575692926 180.07966779702923 179.06913097448924 180.07248581228924 179.0783728271892 181.07969669702922 179.07545091912922	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]6[1H]14[14N]1[16O]5 [12C]6[1H]14[14N]1[16O]4[18O]1 [12C]6[1H]14[14N]1[16O]4[17O]1 [12C]4[13C]2[1H]14[14N]1[16O]5 [12C]5[13C]1[1H]14[14N]1[16O]4[18O]1 [12C]6[1H]14[15N]1[16O]5 [12C]5[13C]1[1H]14[15N]1[16O]5 [12C]6[1H]13[2H]1[14N]1[16O]5 [12C]5[13C]1[1H]14[14N]1[16O]4[17O]1 [12C]5[13C]1[1H]14[14N]1[16O]5 [12C]6[1H]12[14N]1[16O]5 [12C]6[1H]12[14N]1[16O]4[18O]1 [12C]6[1H]12[14N]1[16O]4[17O]1 [12C]4[13C]2[1H]12[14N]1[16O]5 [12C]5[13C]1[1H]12[14N]1[16O]4[17O]1 [12C]6[1H]12[15N]1[16O]5 [12C]5[13C]1[1H]12[15N]1[16O]5 [12C]6[1H]11[2H]1[14N]1[16O]5 [12C]5[13C]1[1H]12[14N]1[16O]4[18O]1 [12C]5[13C]1[1H]12[14N]1[16O]5
meso-2_6-Diaminoheptanedioate	[M1];[C7H14N2O4]n	0.9101607010983828 0.007481497788633119 0.0013868142242344313 5.090387622207325E-4 0.006723525333310684 1.188805852303702E-4 0.06890835592061956 5.664249311317306E-4 0.0015702077832897884 0.0022358821642089258 0.910370074175799 0.007483218829998449 0.0013871332465362975 5.091558613352533E-4 0.00672507201093412 0.0022363965058289225 0.06892420757683958 1.0501999410246515E-4 0.0013611597942691641 5.665552313422463E-4	191.10263340107076 193.1068791789708 192.10685027897077 193.10302313203076 192.09966829423075 193.11226498473076 192.10598823887076 194.11023401677076 192.10891014693075 193.10934307667077 189.08808049660925 191.09232627450925 190.09229737450923 191.08847022756925 190.08511538976924 191.09479017220926 190.09143533440925 191.09565221230926 190.09435724246924 192.09568111230925	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]7[1H]15[14N]2[16O]4 [12C]7[1H]15[14N]2[16O]3[18O]1 [12C]7[1H]15[14N]2[16O]3[17O]1 [12C]6[13C]1[1H]15[14N]1[15N]1[16O]4 [12C]7[1H]15[14N]1[15N]1[16O]4 [12C]6[13C]1[1H]14[2H]1[14N]2[16O]4 [12C]6[13C]1[1H]15[14N]2[16O]4 [12C]6[13C]1[1H]15[14N]2[16O]3[18O]1 [12C]7[1H]14[2H]1[14N]2[16O]4 [12C]5[13C]2[1H]15[14N]2[16O]4 [12C]7[1H]13[14N]2[16O]4 [12C]7[1H]13[14N]2[16O]3[18O]1 [12C]7[1H]13[14N]2[16O]3[17O]1 [12C]6[13C]1[1H]13[14N]1[15N]1[16O]4 [12C]7[1H]13[14N]1[15N]1[16O]4 [12C]5[13C]2[1H]13[14N]2[16O]4 [12C]6[13C]1[1H]13[14N]2[16O]4 [12C]6[13C]1[1H]13[14N]2[16O]3[17O]1 [12C]7[1H]12[2H]1[14N]2[16O]4 [12C]6[13C]1[1H]13[14N]2[16O]3[18O]1
L-Cystine	[M1];[C6H12N2O4S2]n	0.8292718546713241 0.07495156971536883 0.013278133562629442 0.0014551230559790716 0.001693575445480524 0.053815074365611094 0.006125984473242481 0.0012635636788399939 0.006816593530584179 0.004863934878931247 0.8294626201043048 0.07496881155056291 0.013281188060239583 0.0014554577920228076 0.0016939650350358943 0.053827453968155685 0.006127393692757032 0.0012638543486257038 0.006818161617586035 0.004865053776959611	241.03112471679077 243.02692085679078 242.03051252679077 243.03783439239078 245.02271699679076 242.03447955459077 242.02815960995076 242.03534159469075 243.03537049469077 244.03027569459078 239.01657181232923 241.01236795232924 240.01595962232923 241.02328148792924 243.00816409232922 240.01992665012924 240.01360670548922 240.0207886902292 241.02081759022923 242.01572279012925	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]6[1H]13[14N]2[16O]4[32S]2 [12C]6[1H]13[14N]2[16O]4[32S]1[34S]1 [12C]6[1H]13[14N]2[16O]4[32S]1[33S]1 [12C]4[13C]2[1H]13[14N]2[16O]4[32S]2 [12C]6[1H]13[14N]2[16O]4[34S]2 [12C]5[13C]1[1H]13[14N]2[16O]4[32S]2 [12C]6[1H]13[14N]1[15N]1[16O]4[32S]2 [12C]6[1H]13[14N]2[16O]3[17O]1[32S]2 [12C]6[1H]13[14N]2[16O]3[18O]1[32S]2 [12C]5[13C]1[1H]13[14N]2[16O]4[32S]1[34S]1 [12C]6[1H]11[14N]2[16O]4[32S]2 [12C]6[1H]11[14N]2[16O]4[32S]1[34S]1 [12C]6[1H]11[14N]2[16O]4[32S]1[33S]1 [12C]4[13C]2[1H]11[14N]2[16O]4[32S]2 [12C]6[1H]11[14N]2[16O]4[34S]2 [12C]5[13C]1[1H]11[14N]2[16O]4[32S]2 [12C]6[1H]11[14N]1[15N]1[16O]4[32S]2 [12C]6[1H]11[14N]2[16O]3[17O]1[32S]2 [12C]6[1H]11[14N]2[16O]3[18O]1[32S]2 [12C]5[13C]1[1H]11[14N]2[16O]4[32S]1[34S]1
Putrescine	[M1];[C4H12N2]n	0.9494244801844615 0.0070135741269447965 1.295264211656739E-5 0.001419552846453116 1.0486499267198228E-5 0.04107486884857473 3.034276484718867E-4 6.141399153764622E-5 6.663819316886935E-4 0.9496428854890968 0.00701518752730022 1.2955621738229086E-5 0.0012014364153314706 0.041084317698305235 3.034974488713733E-4 5.197763931687756E-5 6.665352259757395E-4	89.10732484839076 90.10435974155077 91.10139463471077 90.11360159425077 91.11063648741077 90.11067968619076 91.10771457935077 91.11695643205077 91.11403452399077 87.09277194392924 88.08980683708924 89.08684173024923 88.09904868978924 88.09612678172924 89.09316167488925 89.10240352758925 89.09948161952924	M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]4[1H]13[14N]2 [12C]4[1H]13[14N]1[15N]1 [12C]4[1H]13[15N]2 [12C]4[1H]12[2H]1[14N]2 [12C]4[1H]12[2H]1[14N]1[15N]1 [12C]3[13C]1[1H]13[14N]2 [12C]3[13C]1[1H]13[14N]1[15N]1 [12C]3[13C]1[1H]12[2H]1[14N]2 [12C]2[13C]2[1H]13[14N]2 [12C]4[1H]11[14N]2 [12C]4[1H]11[14N]1[15N]1 [12C]4[1H]11[15N]2 [12C]4[1H]10[2H]1[14N]2 [12C]3[13C]1[1H]11[14N]2 [12C]3[13C]1[1H]11[14N]1[15N]1 [12C]3[13C]1[1H]10[2H]1[14N]2 [12C]2[13C]2[1H]11[14N]2
Thiamin	[M1];[C12H16N4OS]n	0.8185199496633144 0.03698989343785546 0.006552988114864837 0.004800871644011557 0.0016820532862954927 0.001600390546504631 0.0015695503248794186 0.006319529443606053 0.1062346725328711 0.012093116327127817 0.8187082417314961 0.03699840258114526 0.006554495562160931 0.004801976034993472 0.0016824402252970392 0.001412434146913726 0.0015699113837356 0.006320983186143864 0.10625911072306067 0.012095898223751027	265.1117582995307 267.10755443953076 266.11114610953075 268.11090927733073 267.1160040774307 266.11803504539074 267.11214803049074 267.1184679751307 266.11511313733075 266.1087931926907 263.09720539506924 265.0930015350693 264.09659320506927 266.09635637286925 265.10145117296923 264.10348214092926 265.09759512602926 265.10391507066925 264.10056023286927 264.09424028822923	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]12[1H]17[14N]4[16O]1[32S]1 [12C]12[1H]17[14N]4[16O]1[34S]1 [12C]12[1H]17[14N]4[16O]1[33S]1 [12C]11[13C]1[1H]17[14N]4[16O]1[34S]1 [12C]12[1H]17[14N]4[18O]1[32S]1 [12C]12[1H]16[2H]1[14N]4[16O]1[32S]1 [12C]11[13C]1[1H]17[14N]3[15N]1[16O]1[32S]1 [12C]10[13C]2[1H]17[14N]4[16O]1[32S]1 [12C]11[13C]1[1H]17[14N]4[16O]1[32S]1 [12C]12[1H]17[14N]3[15N]1[16O]1[32S]1 [12C]12[1H]15[14N]4[16O]1[32S]1 [12C]12[1H]15[14N]4[16O]1[34S]1 [12C]12[1H]15[14N]4[16O]1[33S]1 [12C]11[13C]1[1H]15[14N]4[16O]1[34S]1 [12C]12[1H]15[14N]4[18O]1[32S]1 [12C]12[1H]14[2H]1[14N]4[16O]1[32S]1 [12C]11[13C]1[1H]15[14N]3[15N]1[16O]1[32S]1 [12C]10[13C]2[1H]15[14N]4[16O]1[32S]1 [12C]11[13C]1[1H]15[14N]4[16O]1[32S]1 [12C]12[1H]15[14N]3[15N]1[16O]1[32S]1
S-Adenosyl-L-methionine	[M1];[C15H22N6O5S]n	0.7785469950755034 0.03518346791187096 0.006232968674364086 0.002059493643743737 0.007999545595320536 0.005708022439962896 0.0027991880868877116 0.009562813128423584 0.1263082914278969 0.017253811678243056 0.7787260917779597 0.03519156150560884 0.006234402504490144 0.0018808398082217162 0.008001385808238101 0.005709335511624606 0.0027998320112225137 0.009565012954905914 0.12633734734697524 0.01725778073957901	399.14451499125073 401.1403111312507 400.1439028012507 400.15079173711075 401.1487607691507 402.14366596905074 401.14490472221075 401.15122466685074 400.14786982905076 400.1415498844107 397.12996208678925 399.12575822678923 398.1293498967892 398.13623883264927 399.13420786468924 400.1291130645892 399.1303518177493 399.13667176238926 398.1333169245892 398.12699697994924	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]15[1H]23[14N]6[16O]5[32S]1 [12C]15[1H]23[14N]6[16O]5[34S]1 [12C]15[1H]23[14N]6[16O]5[33S]1 [12C]15[1H]22[2H]1[14N]6[16O]5[32S]1 [12C]15[1H]23[14N]6[16O]4[18O]1[32S]1 [12C]14[13C]1[1H]23[14N]6[16O]5[34S]1 [12C]14[13C]1[1H]23[14N]5[15N]1[16O]5[32S]1 [12C]13[13C]2[1H]23[14N]6[16O]5[32S]1 [12C]14[13C]1[1H]23[14N]6[16O]5[32S]1 [12C]15[1H]23[14N]5[15N]1[16O]5[32S]1 [12C]15[1H]21[14N]6[16O]5[32S]1 [12C]15[1H]21[14N]6[16O]5[34S]1 [12C]15[1H]21[14N]6[16O]5[33S]1 [12C]15[1H]20[2H]1[14N]6[16O]5[32S]1 [12C]15[1H]21[14N]6[16O]4[18O]1[32S]1 [12C]14[13C]1[1H]21[14N]6[16O]5[34S]1 [12C]14[13C]1[1H]21[14N]5[15N]1[16O]5[32S]1 [12C]13[13C]2[1H]21[14N]6[16O]5[32S]1 [12C]14[13C]1[1H]21[14N]6[16O]5[32S]1 [12C]15[1H]21[14N]5[15N]1[16O]5[32S]1
L-Lysine	[M1];[C6H14N2O2]n	0.9244923256119258 0.0037996516886122217 7.043256788647043E-4 0.006829395692652739 1.0350215100359994E-4 4.431893292917277E-4 0.00159493267893865 0.0016222063856330985 0.059994346815208426 2.465760016263064E-4 0.9247049955316746 0.0038005257592749024 7.044877017192498E-4 0.0068309667246598755 8.972249919135415E-5 4.43291280423698E-4 0.0013825929665110064 0.0016225795574727024 0.060008147895616655 2.466327238910835E-4	147.11280415687077 149.11704993477076 148.11702103477077 148.10983905003076 149.1224357405308 149.11319388783076 148.1190809027308 149.11951383247077 148.11615899467077 150.12040477257077 145.09825125240926 147.10249703030925 146.10246813030923 146.09528614556925 147.10788283606925 147.09864098336925 146.10452799826925 147.10496092800926 146.10160609020926 148.10585186810926	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]6[1H]15[14N]2[16O]2 [12C]6[1H]15[14N]2[16O]1[18O]1 [12C]6[1H]15[14N]2[16O]1[17O]1 [12C]6[1H]15[14N]1[15N]1[16O]2 [12C]5[13C]1[1H]14[2H]1[14N]2[16O]2 [12C]5[13C]1[1H]15[14N]1[15N]1[16O]2 [12C]6[1H]14[2H]1[14N]2[16O]2 [12C]4[13C]2[1H]15[14N]2[16O]2 [12C]5[13C]1[1H]15[14N]2[16O]2 [12C]5[13C]1[1H]15[14N]2[16O]1[18O]1 [12C]6[1H]13[14N]2[16O]2 [12C]6[1H]13[14N]2[16O]1[18O]1 [12C]6[1H]13[14N]2[16O]1[17O]1 [12C]6[1H]13[14N]1[15N]1[16O]2 [12C]5[13C]1[1H]12[2H]1[14N]2[16O]2 [12C]5[13C]1[1H]13[14N]1[15N]1[16O]2 [12C]6[1H]12[2H]1[14N]2[16O]2 [12C]4[13C]2[1H]13[14N]2[16O]2 [12C]5[13C]1[1H]13[14N]2[16O]2 [12C]5[13C]1[1H]13[14N]2[16O]1[18O]1
L-Arginine	[M1];[C6H14N4O2]n	0.9177005819402927 0.0037717377085870647 6.991513801283337E-4 0.013558447653526082 1.027417768397432E-4 2.447645414851812E-4 0.001610288915202596 0.001583215573637973 8.79866915350627E-4 0.05955360089009081 0.9179116894894931 0.003772605357926682 6.993122126888481E-4 0.013561566634500298 8.906335665527886E-5 2.4482084704224524E-4 0.0016106593455511027 0.0013724358059044753 8.800693196552309E-4 0.059567300581447	175.11895216735076 177.12319794525075 176.12316904525076 176.11598706051078 177.12858375101078 178.12655278305076 177.12566184295076 176.12522891321078 177.11934189831075 176.12230700515076 173.10439926288925 175.10864504078924 174.10861614078925 174.10143415604924 175.11403084654924 176.11199987858924 175.11110893848925 174.11067600874924 175.10478899384924 174.10775410068925	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]6[1H]15[14N]4[16O]2 [12C]6[1H]15[14N]4[16O]1[18O]1 [12C]6[1H]15[14N]4[16O]1[17O]1 [12C]6[1H]15[14N]3[15N]1[16O]2 [12C]5[13C]1[1H]14[2H]1[14N]4[16O]2 [12C]5[13C]1[1H]15[14N]4[16O]1[18O]1 [12C]4[13C]2[1H]15[14N]4[16O]2 [12C]6[1H]14[2H]1[14N]4[16O]2 [12C]5[13C]1[1H]15[14N]3[15N]1[16O]2 [12C]5[13C]1[1H]15[14N]4[16O]2 [12C]6[1H]13[14N]4[16O]2 [12C]6[1H]13[14N]4[16O]1[18O]1 [12C]6[1H]13[14N]4[16O]1[17O]1 [12C]6[1H]13[14N]3[15N]1[16O]2 [12C]5[13C]1[1H]12[2H]1[14N]4[16O]2 [12C]5[13C]1[1H]13[14N]4[16O]1[18O]1 [12C]4[13C]2[1H]13[14N]4[16O]2 [12C]6[1H]12[2H]1[14N]4[16O]2 [12C]5[13C]1[1H]13[14N]3[15N]1[16O]2 [12C]5[13C]1[1H]13[14N]4[16O]2
IDP	[M1];[C10H14N4O11P2]n	0.8600099269677757 0.01944046418108338 0.0036035982384447205 0.0013742577490292419 3.897553942318666E-4 0.012706104589856328 0.004527177424576936 0.09301633699135968 0.0021026277846719135 0.0014836877481104456 0.8602077633771048 0.019444936259263725 0.0036044272090342486 0.001374573882843556 3.8984505343845656E-4 0.012709027498104004 0.004528218855027899 0.0930377344398568 0.0021031114724969387 0.0012861585144779402	429.02070679025076 431.02495256815075 430.0249236681508 431.0210965212108 431.02827850595077 430.01774168341075 431.02741646585076 430.02406162805073 432.0283074059507 430.0269835361108 427.00615388578933 429.0103996636893 428.0103707636893 429.0065436167493 429.01372560148934 428.00318877894927 429.0128635613893 428.0095087235893 430.0137545014893 428.0124306316493	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]10[1H]15[14N]4[16O]11[31P]2 [12C]10[1H]15[14N]4[16O]10[18O]1[31P]2 [12C]10[1H]15[14N]4[16O]10[17O]1[31P]2 [12C]9[13C]1[1H]15[14N]3[15N]1[16O]11[31P]2 [12C]9[13C]1[1H]15[14N]4[16O]10[17O]1[31P]2 [12C]10[1H]15[14N]3[15N]1[16O]11[31P]2 [12C]8[13C]2[1H]15[14N]4[16O]11[31P]2 [12C]9[13C]1[1H]15[14N]4[16O]11[31P]2 [12C]9[13C]1[1H]15[14N]4[16O]10[18O]1[31P]2 [12C]10[1H]14[2H]1[14N]4[16O]11[31P]2 [12C]10[1H]13[14N]4[16O]11[31P]2 [12C]10[1H]13[14N]4[16O]10[18O]1[31P]2 [12C]10[1H]13[14N]4[16O]10[17O]1[31P]2 [12C]9[13C]1[1H]13[14N]3[15N]1[16O]11[31P]2 [12C]9[13C]1[1H]13[14N]4[16O]10[17O]1[31P]2 [12C]10[1H]13[14N]3[15N]1[16O]11[31P]2 [12C]8[13C]2[1H]13[14N]4[16O]11[31P]2 [12C]9[13C]1[1H]13[14N]4[16O]11[31P]2 [12C]9[13C]1[1H]13[14N]4[16O]10[18O]1[31P]2 [12C]10[1H]12[2H]1[14N]4[16O]11[31P]2
methylglyoxal	[M1];[C3H4O2]n	0.9629883956085714 0.0039578700462074255 7.336539597847907E-4 5.537820124063549E-4 0.03124626250786935 1.2842174111316927E-4 2.3805005669758198E-5 1.796866733876882E-5 3.3795108544850127E-4 0.9632099211519851 0.003958780513370628 7.338227293077258E-4 3.323456425463276E-4 0.03125345038813174 1.2845128320953926E-4 2.3810481765670682E-5 1.078368050716377E-5 3.3802882760842E-4	73.02840582499076 75.03265160289075 74.03262270289076 74.03468257085076 74.03176066279076 76.03600644069076 75.03597754069077 75.03803740865077 75.03511550059076 71.01385292052923 73.01809869842924 72.01806979842924 72.02012966638924 72.01720775832923 74.02145353622925 73.02142463622924 73.02348450418924 73.02056259612924	M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]3[1H]5[16O]2 [12C]3[1H]5[16O]1[18O]1 [12C]3[1H]5[16O]1[17O]1 [12C]3[1H]4[2H]1[16O]2 [12C]2[13C]1[1H]5[16O]2 [12C]2[13C]1[1H]5[16O]1[18O]1 [12C]2[13C]1[1H]5[16O]1[17O]1 [12C]2[13C]1[1H]4[2H]1[16O]2 [12C]1[13C]2[1H]5[16O]2 [12C]3[1H]3[16O]2 [12C]3[1H]3[16O]1[18O]1 [12C]3[1H]3[16O]1[17O]1 [12C]3[1H]2[2H]1[16O]2 [12C]2[13C]1[1H]3[16O]2 [12C]2[13C]1[1H]3[16O]1[18O]1 [12C]2[13C]1[1H]3[16O]1[17O]1 [12C]2[13C]1[1H]2[2H]1[16O]2 [12C]1[13C]2[1H]3[16O]2
D-Fructose 1_6-bisphosphate	[M1];[C6H14O12P2]n	0.9089487872840516 0.02241460766381068 0.0041549028840234415 2.533403183831364E-4 0.0015949321439414537 0.0015681169915190136 1.0176196386891818E-4 0.058985658691636675 0.0014545818376798208 2.696298040577228E-4 0.9091578815732004 0.022419763913009292 0.004155858676557819 2.5339859670918304E-4 9.394289438974587E-5 0.001359347357898097 0.0015952990416231972 0.05899922773375066 0.001454916449221872 2.696918296118591E-4	341.0033253913908 343.00757116929077 342.00754226929075 345.01181694719077 343.0100350669908 342.0096021372508 343.01295697505077 342.00668022919075 344.01092600709075 343.0108971070908 338.9887724869293 340.9930182648293 339.9929893648293 342.9972640427293 341.9972351427293 339.99504923278926 340.9954821625293 339.99212732472927 341.99637310262926 340.9963442026293	M+H M+H M+H M+H M+H M+H M+H M+H M+H M+H M-H M-H M-H M-H M-H M-H M-H M-H M-H M-H	[12C]6[1H]15[16O]12[31P]2 [12C]6[1H]15[16O]11[18O]1[31P]2 [12C]6[1H]15[16O]11[17O]1[31P]2 [12C]6[1H]15[16O]10[18O]2[31P]2 [12C]4[13C]2[1H]15[16O]12[31P]2 [12C]6[1H]14[2H]1[16O]12[31P]2 [12C]5[13C]1[1H]14[2H]1[16O]12[31P]2 [12C]5[13C]1[1H]15[16O]12[31P]2 [12C]5[13C]1[1H]15[16O]11[18O]1[31P]2 [12C]5[13C]1[1H]15[16O]11[17O]1[31P]2 [12C]6[1H]13[16O]12[31P]2 [12C]6[1H]13[16O]11[18O]1[31P]2 [12C]6[1H]13[16O]11[17O]1[31P]2 [12C]6[1H]13[16O]10[18O]2[31P]2 [12C]6[1H]13[16O]10[18O]1[17O]1[31P]2 [12C]6[1H]12[2H]1[16O]12[31P]2 [12C]4[13C]2[1H]13[16O]12[31P]2 [12C]5[13C]1[1H]13[16O]12[31P]2 [12C]5[13C]1[1H]13[16O]11[18O]1[31P]2 [12C]5[13C]1[1H]13[16O]11[17O]1[31P]2
